date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:50:17	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:18%20GMT	https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom-v1/js/lazy.min.js	C:/Users/chris/Downloads/lp1/d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom-v1/js/lazy.min.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:18	24731/24731	---MCZ	200	added ('OK')	application/javascript	etag:W/%226641ceb7-609b%22	https://www.ubuy.com.kh/ubuycom/assets/v5/custom_js/custom.js?v=4.4.74	C:/Users/chris/Downloads/lp1/www.ubuy.com.kh/ubuycom/assets/v5/custom_js/customea5b.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:18	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:19%20GMT	https://d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom-v1/js/jquery.fancybox.min.js	C:/Users/chris/Downloads/lp1/d3ulwu8fab47va.cloudfront.net/skin/frontend/default/ubuycom-v1/js/jquery.fancybox.min.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:19	173077/173077	---M-Z	200	added ('OK')	application/javascript	etag:%225f8c900b-2a415%22	https://cdnjs.cloudflare.com/ajax/libs/Chart.js/2.9.4/Chart.min.js	C:/Users/chris/Downloads/lp1/cdnjs.cloudflare.com/ajax/libs/Chart.js/2.9.4/Chart.min.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:19	1789/1789	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f48c8eca90148c192d49ea8e237e253%22	https://d1v2u6by4izioz.cloudfront.net/e99ca47bc67c5a965f2a79618180ba22.min.js?o=NzAxMw==	C:/Users/chris/Downloads/lp1/d1v2u6by4izioz.cloudfront.net/e99ca47bc67c5a965f2a79618180ba22.min44af.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:20	34048/34048	---MCZ	200	added ('OK')	text/css	etag:W/%22691176e7-8500%22	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min3b8d.css	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:21	13527/13527	---MCZ	200	added ('OK')	text/css	etag:W/%2264e9c4ad-34d7%22	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/vertical.css?v=1.54	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/vertical3b8d.css	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:21	60620/60620	---M--	200	added ('OK')	text/javascript	date:Wed,%2025%20Aug%202021%2016:18:01%20GMT	https://www.gstatic.com/firebasejs/9.0.0/firebase-app.js	C:/Users/chris/Downloads/lp1/www.gstatic.com/firebasejs/9.0.0/firebase-app.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:22	99953/99953	---M--	200	added ('OK')	text/javascript	date:Wed,%2025%20Aug%202021%2016:17:58%20GMT	https://www.gstatic.com/firebasejs/9.0.0/firebase-messaging.js	C:/Users/chris/Downloads/lp1/www.gstatic.com/firebasejs/9.0.0/firebase-messaging.js	(from https://mikeadamsgolf.com/miura-vs-mizuno/)
02:50:22	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:23%20GMT	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/Impact.svg	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/Impact.24.delayed	(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
02:50:22	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:23%20GMT	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/Impact.ttf	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/Impact.ttf	(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
02:50:23	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:23%20GMT	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/Impact.woff	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/Impact.woff	(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
02:50:23	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:24%20GMT	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/impact.eot	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/impact.eot	(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
02:50:23	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:24%20GMT	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/impact.eot?	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/impactd41d.eot	(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
02:50:24	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:24%20GMT	https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/impact.woff2	C:/Users/chris/Downloads/lp1/ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/fonts/impact.woff2	(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
02:50:24	122/122	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2023%20Nov%202025%2018:50:25%20GMT	https://ubuyanalytics.ubuy.com/robots.txt		(from https://ubuyanalytics.ubuy.com/ubuywebanalytics/webtrack/css/track.min.css?v=1.54)
